"time","usage"
1485838857,1963032
1485839217,1963032
1485839577,1963032
1485839937,1963032
1485840297,1963032
1485840656,1963032
1485840956,1963032
1485841256,1963032
1485841557,1963032
1485841916,1963032
1485842216,1963032
1485842516,1963032
1485842817,1963032
1485843117,1963032
1485843417,1963032
1485843776,1963032
1485844077,1963032
1485844377,1963036
1485844677,1963032
1485844977,1963032
1485845277,1963032
1485845636,1963032
1485845936,1963032
1485846237,1963032
1485846537,1963032
1485846837,1963032
1485847197,1963032
1485847497,1963032
1485847797,1963032
1485848097,1963032
1485848397,1963032
1485848697,1963032
1485849057,1963032
1485849417,1963032
1485849777,1963032
1485850077,1963032
1485850437,1963032
1485850737,1963036
1485851037,1963040
1485851337,1963040
1485851697,1963040
1485851997,1963040
1485852297,1963040
1485852597,1963040
1485852897,1963052
1485853197,1963052
1485853497,1963052
1485853797,1963052
1485854097,1963052
1485854397,1963052
1485854697,1963052
1485854997,1963052
1485855297,1963052
1485855597,1963052
1485855897,1963116
1485856197,1963096
1485856497,1963096
1485856797,1963104
1485857097,1963112
1485857456,1963112
1485857757,1963112
1485858057,1963116
1485858417,1963124
1485858717,1963124
1485859017,1963124
1485859317,1963124
1485859617,1963132
1485859917,1963132
1485860217,1963132
1485860517,1963132
1485860817,1963132
1485861117,1963132
1485861417,1963132
1485861717,1963132
1485862077,1963132
1485862377,1963136
1485862677,1963136
1485863036,1963136
1485863336,1963136
1485863637,1963136
1485863937,1963136
1485864237,1963136
1485864537,1963136
1485864837,1963136
1485865137,1963136
1485865437,1963136
1485865737,1963136
1485866037,1963136
1485866337,1963136
1485866637,1963156
1485866937,1963156
1485867237,1963156
1485867537,1963156
1485867837,1963164
1485868137,1963164
1485868437,1963164
1485868797,1963164
1485869097,1963164
1485869397,1963164
1485869697,1963164
1485869997,1963164
1485870297,1963164
1485870597,1963164
1485870897,1963164
1485871197,1963164
1485871497,1963164
1485871797,1963164
1485872097,1963164
1485872397,1963164
1485872697,1963164
1485872997,1963164
1485873297,1963164
1485873597,1963164
1485873897,1963164
1485874197,1963164
1485874497,1963164
1485874797,1963164
1485875097,1963164
1485875397,1963164
1485875697,1963164
1485875997,1963164
1485876297,1963164
1485876597,1963164
1485876897,1963164
1485877197,1963164
1485877497,1963168
1485877797,1963188
1485878097,1963200
1485878397,1963188
1485878697,1963188
1485878997,1963188
1485879297,1963188
1485879597,1963188
1485879897,1963188
1485880197,1963188
1485880497,1963188
1485880797,1963188
1485881097,1963188
1485881397,1963188
1485881697,1963188
1485881997,1963188
1485882297,1963188
1485882597,1963188
1485882897,1963188
1485883197,1963188
1485883497,1963188
1485883797,1963188
1485884097,1963188
1485884397,1963188
1485884697,1963188
1485884997,1963188
1485885297,1963188
1485885597,1963188
1485885897,1963188
1485886197,1963188
1485886497,1963188
1485886797,1963188
1485887097,1963188
1485887397,1963188
1485887697,1963188
1485887997,1963188
1485888297,1963188
1485888597,1963188
1485888897,1963188
1485889198,1963188
1485889557,1963188
1485889857,1963188
1485890157,1963188
1485890457,1963188
1485890757,1963188
1485891057,1963188
1485891357,1963188
1485891657,1963188
1485891957,1963188
1485892257,1963188
1485892557,1963188
1485892857,1963188
1485893158,1963188
1485893517,1963188
1485893817,1963188
1485894117,1963188
1485894417,1963188
1485894717,1963188
1485895017,1963188
1485895317,1963188
1485895617,1963188
1485895917,1963188
