"time","usage"
1485951530,48.8
1485951830,46.9
1485952190,47.3
1485952550,47.4
1485952850,47.7
1485953210,48
1485953510,48.1
1485953810,48.3
1485954110,48
1485954470,49
1485954770,49.2
1485955070,48.8
1485955370,49.1
1485955670,47.2
1485955970,47.3
1485956270,47.6
1485956629,47.9
1485956930,48.1
1485957230,48.2
1485957530,48.4
1485957830,48.6
1485958190,48.8
1485958490,49
1485958790,49.4
1485959090,47.7
1485959450,47.9
1485959810,48.1
1485960110,47.4
1485960410,47.7
1485960710,48
1485961010,48.2
1485961310,48.4
1485961610,48.4
1485961970,48.7
1485962270,48.9
1485962570,49.1
1485962930,47.7
1485963230,47.6
1485963530,47.9
1485963830,47.9
1485964130,48.1
1485964430,48.3
1485964730,48.6
1485965030,48.7
1485965330,49
1485965630,49.1
1485965990,48.9
1485966290,49.2
1485966590,47.3
1485966950,47.5
1485967250,47.8
1485967550,48.1
1485967850,48.6
1485968150,48.7
1485968510,48.5
1485968810,48.8
1485969110,49
1485969410,49
1485969710,49.2
1485970010,47.4
1485970370,47.8
1485970670,48
1485970970,48.2
1485971270,48.4
1485971570,48.4
1485971930,48.7
1485972230,48.8
1485972530,49
1485972830,49.3
1485973130,49.5
1485973430,49.6
1485973730,47.5
1485974030,47.6
1485974330,47.8
1485974630,47.9
1485974990,48.2
1485975290,48.5
1485975590,48.7
1485975890,48.8
1485976190,49.1
1485976490,49.3
1485976790,49.6
1485977090,49.6
1485977390,47.9
1485977690,48.1
1485977990,48.3
1485978350,48.4
1485978650,48.7
1485978950,49
1485979250,48.9
1485979550,48.7
1485979850,48.8
1485980150,49
1485980450,49.3
1485980750,49.4
1485981050,47.9
1485981350,48
1485981650,48.2
1485981950,48.5
1485982250,48.7
1485982550,48.2
1485982850,48.4
1485983150,48.6
1485983450,48.8
1485983750,49
1485984050,49.2
1485984350,49.5
1485984650,47.2
1485984950,47.4
1485985250,47.6
1485985550,47.5
1485985850,47.9
1485986150,48.1
1485986450,48.2
1485986750,48.5
1485987050,48.7
1485987350,48.9
1485987650,48.9
1485987950,49.2
1485988250,47.2
1485988550,47.6
1485988850,47.6
1485989150,47.8
1485989450,48
1485989750,48.1
1485990050,48.6
1485990350,48.7
1485990650,48.4
1485990950,48.7
1485991250,48.9
1485991550,49.1
1485991850,47.4
1485992150,47.6
1485992450,47.8
1485992750,47.9
1485993050,48.1
1485993350,48.3
1485993650,48.4
1485993950,48.4
1485994250,48.5
1485994550,48.8
1485994850,48.9
1485995150,49.2
1485995450,47.5
1485995750,47.8
1485996050,47.3
1485996350,47.6
1485996650,47.9
1485996950,48
1485997250,48.2
1485997550,48.4
1485997850,48.6
1485998150,48.7
1485998450,49
1485998750,49.2
1485999050,47.4
1485999350,47.5
1485999650,47.7
1485999950,48
1486000251,48.2
1486000610,48.4
1486000910,48.6
1486001210,48.9
1486001510,49
1486001810,48.5
1486002110,48.7
1486002410,49.1
1486002710,47.3
1486003010,47.3
1486003310,47.6
1486003610,47.9
1486003910,48
1486004210,48.1
1486004510,48.3
1486004815,47.7
1486005115,47.9
1486005416,47.9
1486005716,48.3
1486006016,48.5
1486006376,47.1
1486006676,47.3
1486006976,47.3
1486007276,47
1486007576,47
1486007876,47.2
1486008176,47.5
1486008536,47.8
1486008836,47.7
1486009136,48
1486009436,48.1
1486009736,48.3
1486010036,46.6
1486010336,46.8
1486010636,47
1486010996,47.2
1486011356,47.4
1486011656,47.7
1486011956,47.9
1486012256,48
1486012556,48.4
1486012856,48.1
1486013156,48.2
1486013456,48.4
1486013816,46.8
1486014116,47
1486014476,47.2
1486014836,47.4
1486015136,47.6
1486015496,48
1486015796,48.1
1486016096,48.1
1486016455,48.3
1486016755,48.5
1486017056,48.6
1486017356,46.9
1486017656,47.3
1486017956,47.4
1486018256,47.4
1486018616,47.7
1486018916,48
1486019276,48.2
1486019636,48.4
1486019936,48.7
1486020295,48.7
1486020595,48.6
1486020895,47.2
1486021196,47.3
1486021496,47.5
1486021856,47.7
1486022156,47.8
1486022516,48.2
1486022816,48.3
1486023116,48.4
1486023416,48.7
1486023716,48.8
1486024016,49
1486024316,49.2
1486024616,47.5
1486024916,47.8
1486025276,47.9
1486025576,48.1
1486025876,47.8
1486026176,47.9
1486026476,48.2
1486026776,48.8
1486027076,48.9
1486027436,49.1
1486027796,48.9
1486028096,47.4
1486028456,47.4
1486028756,47.7
1486029056,47.7
1486029356,48
1486029656,48.4
1486029956,48.5
1486030256,49
1486030556,48.8
1486030856,49.4
1486031156,49.7
1486031456,49.8
1486031756,47.4
1486032056,48
1486032356,47.6
1486032656,47.8
1486032956,48.3
1486033256,48.4
1486033556,48
1486033856,48.2
1486034156,48.4
1486034516,48.5
1486034816,48.6
1486035116,49.4
1486035416,48.1
1486035776,47.2
1486036076,47.5
1486036376,47.7
1486036676,47.8
1486036976,48
1486037276,48
1486037576,47.8
1486037876,47.9
1486038176,48.2
1486038476,48.7
1486038776,48.7
1486039076,47.2
1486039376,47.6
1486039676,47.5
1486039976,47.7
1486040276,47.9
1486040576,48
1486040936,48.4
1486041296,48.8
1486041596,48.4
1486041896,48.6
1486042196,48.7
1486042496,49.1
1486042856,47.5
1486043216,47.9
1486043516,48.1
1486043816,47.7
1486044116,47.7
1486044416,48
1486044776,48.6
1486045076,48.6
1486045376,49
1486045736,49
1486046036,49.1
1486046336,47.9
1486046636,48.3
1486046936,48.4
1486047236,48.7
1486047536,48.7
1486047836,48.9
1486048136,49.3
1486048436,48.4
1486048736,48.9
1486049036,49.2
1486049396,49.3
1486049756,49.2
1486050056,47.9
1486050356,48.1
1486050656,48.3
1486050956,48.4
1486051256,48.5
1486051556,48.8
1486051856,48.6
1486052156,49
1486052456,49.1
1486052756,49.1
1486053056,49.7
1486053416,49.4
1486053716,47.7
1486054016,47.9
1486054316,48
1486054616,48.3
1486054916,48.5
1486055216,48.5
1486055516,48.8
1486055816,49.1
1486056116,49.2
1486056416,49.4
1486056716,49.5
1486057016,49.8
1486057316,48
1486057616,48.1
1486057916,48.3
1486058216,48.6
1486058516,48.6
1486058816,48.9
1486059116,48.4
1486059416,48.7
1486059716,49
1486060016,49.2
1486060316,49.3
1486060616,49.6
1486060916,47.9
1486061216,48.1
1486061516,48.3
1486061816,48.5
1486062116,48.6
1486062416,48.9
1486062716,49
1486063016,49.3
1486063316,49.5
1486063616,49.6
1486063916,49.9
1486064216,50
1486064516,47.9
1486064816,48.2
1486065116,48.4
1486065416,48.5
1486065716,48.3
1486066016,48.6
1486066316,48.9
1486066616,49.1
1486066916,49.1
1486067216,49.5
1486067516,49.6
1486067816,49.9
1486068116,48.1
1486068416,48.3
1486068716,48.5
1486069016,48.8
1486069316,48.9
1486069616,49.1
1486069916,49.3
1486070216,49
1486070516,49.3
1486070816,49.4
1486071116,49.5
1486071416,49.8
1486071716,50
1486072016,48.2
1486072316,48.4
1486072617,48.6
1486072917,48.9
1486073276,48.9
1486073576,49
1486073877,49.4
1486074236,49.7
1486074536,49.7
1486074836,49.9
1486075136,50.1
1486075436,48
1486075736,48
1486076036,48.3
1486076336,48.5
1486076636,48.8
1486076936,48.9
1486077236,49.2
1486077536,49.3
1486077836,49.4
1486078136,49.6
1486078436,49.9
1486078736,50.3
1486079036,48.4
1486079336,48.6
1486079636,49
1486079936,49.1
1486080236,49.2
1486080536,49.4
1486080836,49
1486081136,49.1
1486081436,49.5
1486081736,49.6
1486082036,49.8
1486082336,49.9
1486082636,48.6
1486082936,48.5
1486083236,48.7
1486083536,48.9
1486083836,49.2
1486084137,49.3
1486084497,49.6
1486084856,49.8
1486085156,49.9
1486085456,50.2
1486085756,50.5
1486086056,50.7
1486086356,48.9
1486086656,48.6
1486086956,48.7
1486087256,48.9
1486087556,48.9
1486087856,49.2
1486088156,49.3
1486088456,49.6
1486088756,49.8
1486089056,50.1
1486089356,50.1
1486089656,50.3
1486089956,48.5
1486090256,48.7
1486090556,49
1486090856,49.2
1486091156,49.4
1486092290,48.3
1486092590,48.3
1486092890,48.7
1486093190,48.9
1486093490,49.1
1486093790,47.5
1486094090,47
1486094390,47.3
1486094690,47.6
1486094990,47.7
1486095290,47.8
1486095590,47.9
1486095890,48
1486096190,48.4
1486096491,48.5
1486096850,48.7
1486097150,48.9
1486097450,47.1
1486097750,46.8
1486098050,47
1486098350,47.1
1486098651,47.4
1486099011,47.6
1486099371,47.9
1486099671,48.2
1486100031,48.3
1486100331,48.5
1486100631,48.7
1486100991,47
1486101351,47
1486101651,47.3
1486101951,47.5
1486102310,47.4
1486102610,47.5
1486102910,47.7
1486103210,48
1486103510,48.1
1486103810,48.5
1486104110,48.5
1486104410,48.7
1486104710,46.9
1486105011,47.1
1486105371,47.3
1486105731,47.6
1486106031,47.7
1486106331,48
1486106690,48.1
1486106990,48.4
1486107290,48.6
1486107591,48.3
1486107950,48.6
1486108250,46.9
1486108550,47.2
1486108850,47.3
1486109150,47.4
1486109451,47.8
1486109810,48.2
1486110110,47.9
1486110410,48.1
1486110710,48.2
1486111011,48.4
1486111311,48.7
1486111671,48.8
1486111971,47.2
1486112271,47.6
1486112571,47.8
1486112930,48.2
1486113230,48.2
1486113530,48.2
1486113831,48.2
1486114190,48.3
1486114490,48.8
1486114791,49
